timestamp,network_connectivity,active_conflicts,average_confidence,total_path_adjustments,mesh_density,average_path_length,emergency_route_activations,priority_emergency,priority_medical,priority_express,priority_standard,priority_flexible
0.0,0.8421052631578947,9,0.3583725053285348,0,0.21052631578947367,72.04899677752287,0,0,0,0,20,0
0.5,0.8421052631578947,8,0.1773540272058282,182,0.21052631578947367,71.05438246379639,1,0,0,0,20,0
0.6,0.8421052631578947,5,0.16745205345416214,359,0.21052631578947367,70.82731097824774,3,1,0,0,19,0
1.0999999999999999,0.8421052631578947,8,0.16647023320912138,535,0.21052631578947367,69.75349202997263,1,3,0,0,17,0
1.5000000000000002,0.8421052631578947,7,0.2341248197234554,708,0.21052631578947367,69.069126321905,3,1,0,0,19,0
2.0000000000000004,0.8421052631578947,8,0.17790391665246746,881,0.21052631578947367,68.1062775075711,2,3,0,0,17,0
2.500000000000001,0.8421052631578947,7,0.20927452128140275,1053,0.21052631578947367,67.07723667956185,0,2,0,0,18,0
3.0000000000000013,0.8421052631578947,9,0.3081346366390617,1228,0.21052631578947367,66.0927025272526,1,0,0,0,20,0
3.5000000000000018,0.8421052631578947,8,0.28533709866823126,1402,0.21052631578947367,65.28653719445403,2,1,0,0,19,0
4.000000000000002,0.8421052631578947,10,0.2581047561422841,1582,0.21052631578947367,64.38988876589649,2,2,0,0,18,0
4.5,0.8421052631578947,8,0.20342722275752312,1756,0.21052631578947367,63.43841634190769,2,2,0,0,18,0
4.6,0.8421052631578947,7,0.1594314163092894,1939,0.21052631578947367,63.13713550434964,1,2,0,0,18,0
5.099999999999998,0.8421052631578947,7,0.2663876000016002,2112,0.21052631578947367,62.15948519225741,2,1,0,0,19,0
5.599999999999996,0.8421052631578947,6,0.23715770719445498,2289,0.21052631578947367,61.32663333402403,2,2,0,0,18,0
6.099999999999994,0.8421052631578947,7,0.173129065722642,2469,0.21052631578947367,60.2616137461759,2,2,0,0,18,0
6.5999999999999925,0.8421052631578947,7,0.33627406061266346,2649,0.21052631578947367,59.537458934867274,2,2,0,0,18,0
7.099999999999991,0.8421052631578947,6,0.19225606904611073,2819,0.21052631578947367,58.5474723209982,1,2,0,0,18,0
7.599999999999989,0.8421052631578947,6,0.25237820210910356,2990,0.21052631578947367,57.46090758526956,2,1,0,0,19,0
8.099999999999987,0.8421052631578947,8,0.24535723411525323,3167,0.21052631578947367,56.46773383555031,1,2,0,0,18,0
8.599999999999985,0.8421052631578947,7,0.19825697368895767,3346,0.21052631578947367,55.48124103016911,2,1,0,0,19,0
9.099999999999984,0.8421052631578947,7,0.34647002000453797,3524,0.21052631578947367,54.594750197643336,2,2,0,0,18,0
9.599999999999982,0.8421052631578947,7,0.17143273721589,3706,0.21052631578947367,53.728947215922474,2,2,0,0,18,0
10.09999999999998,0.8421052631578947,7,0.2118179250238507,3878,0.21052631578947367,52.67591807144261,5,2,0,0,18,0
10.599999999999978,1.268421052631579,8,0.05447364596055896,4052,0.22631578947368422,51.79307680075667,0,5,0,0,15,0
11.099999999999977,2.2842105263157895,6,0.011769624432713365,4216,0.2736842105263158,50.79046398771281,3,0,0,0,20,0
11.599999999999975,2.373684210526316,11,0.009070754412797172,4390,0.28421052631578947,49.74112631899152,0,3,0,0,17,0
12.099999999999973,3.873684210526316,8,0.0013365709597609379,4559,0.35789473684210527,48.96861984106898,1,0,0,0,20,0
12.599999999999971,6.810526315789474,8,0.005131919083912742,4739,0.47368421052631576,47.99805508099038,1,1,0,0,19,0
13.09999999999997,8.81578947368421,9,0.008269259918047613,4915,0.5631578947368421,46.999600549232504,2,1,0,0,19,0
13.599999999999968,10.8,7,0.005776756414885091,5089,0.6736842105263158,46.04438179081084,3,2,0,0,18,0
14.099999999999966,13.473684210526315,6,0.010320769950006196,5265,0.7894736842105263,45.003686460447426,3,3,0,0,17,0
14.599999999999964,16.07894736842105,10,0.007564702554439366,5441,0.9,44.18266687046916,1,3,0,0,17,0
15.099999999999962,18.089473684210525,5,0.01676751304986814,5621,0.9736842105263158,43.232412509027775,4,1,0,0,19,0
15.59999999999996,19.0,8,0.02082260288025273,5802,1.0,42.44049914003529,3,4,0,0,16,0
16.09999999999996,19.0,7,0.015298506128284794,5979,1.0,41.42737347026712,1,3,0,0,17,0
16.599999999999966,19.0,5,0.010809181143360724,6161,1.0,40.54724567788243,2,1,0,0,19,0
17.099999999999973,19.0,7,0.03620550945999716,6345,1.0,39.62214349148622,3,2,0,0,18,0
17.59999999999998,19.0,7,0.08930327913607859,6526,1.0,38.68382603050702,5,3,0,0,17,0
18.099999999999987,19.0,9,0.042691406662412036,6711,1.0,37.82337542237626,0,5,0,0,15,0
18.599999999999994,19.0,7,0.04982842852291987,6897,1.0,36.979130159904756,2,0,0,0,20,0
19.0,19.0,7,0.11306310358279292,7083,1.0,35.9663490383265,3,2,0,0,18,0
19.500000000000007,19.0,9,0.12547868409598809,7261,1.0,35.32145284882837,3,3,0,0,17,0
20.000000000000014,19.0,6,0.08063586579221202,7425,1.0,34.318410421947014,3,3,0,0,17,0
20.50000000000002,19.0,8,0.1638413486439095,7571,1.0,33.523880167092074,2,3,0,0,17,0
21.00000000000003,19.0,5,0.13934921196740518,7702,1.0,32.68692727627423,4,2,0,0,18,0
21.500000000000036,18.431578947368422,10,0.1148709631996598,7802,0.9842105263157894,31.633473400133575,0,4,0,0,16,0
22.000000000000043,16.46315789473684,7,0.11095909318908515,7873,0.9210526315789473,30.666640372912916,2,0,0,0,20,0
22.50000000000005,13.973684210526315,8,0.25903013232628963,7931,0.8210526315789474,29.692751181695378,1,2,0,0,18,0
23.000000000000057,12.042105263157895,8,0.12024316584992775,7976,0.7421052631578947,28.822166745941807,1,1,0,0,19,0
23.500000000000064,10.389473684210527,8,0.2048120064100035,8019,0.6578947368421053,28.114561005829223,2,1,0,0,19,0
24.00000000000007,7.826315789473684,3,0.155517966554014,8056,0.5421052631578948,27.276721318726665,4,2,0,0,18,0
24.500000000000078,5.942105263157894,7,0.11447125403819225,8094,0.43157894736842106,26.052802770460318,2,4,0,0,16,0
25.000000000000085,4.378947368421053,8,0.13688524953246067,8131,0.3684210526315789,25.427838005813257,0,2,0,0,18,0
25.500000000000092,3.4842105263157896,6,0.18468669903559598,8164,0.3263157894736842,24.603992772750367,2,0,0,0,20,0
26.0000000000001,2.610526315789474,4,0.19292206576407747,8200,0.2631578947368421,23.827719713781736,3,2,0,0,18,0
26.500000000000107,1.268421052631579,10,0.12645934249200036,8233,0.22631578947368422,22.95326660935193,0,3,0,0,17,0
27.000000000000114,0.8421052631578947,7,0.12593322282372615,8271,0.21052631578947367,22.173095258085286,1,0,0,0,20,0
27.50000000000012,0.8421052631578947,5,0.16840830449969227,8308,0.21052631578947367,21.456308843623066,2,1,0,0,19,0
28.000000000000128,0.8421052631578947,7,0.16798468018136373,8340,0.21052631578947367,20.81471202204912,3,2,0,0,18,0
28.500000000000135,0.8421052631578947,9,0.22902456548413438,8375,0.21052631578947367,20.06394974073012,1,3,0,0,17,0
29.000000000000142,0.8421052631578947,9,0.219748225094987,8408,0.21052631578947367,19.041183158338796,1,1,0,0,19,0
29.50000000000015,0.8421052631578947,7,0.2064777971422707,8441,0.21052631578947367,18.762336259442606,2,1,0,0,19,0
30.000000000000156,0.8421052631578947,8,0.14223860708558192,8473,0.21052631578947367,17.990777382917784,0,2,0,0,18,0
